DOCULECT,GLOSS,IPA
TommoSoTongoTongo,flame,ɲam+gide+nii+ndɛ
YandaDom,flame,golo+bize
YornoSo,flame,yam+giji
BankanTey,firewood,tin
BenTey,firewood,tirⁿu
BenTey,firewood,tirⁿi
Bunoge,firewood,tee+ŋge
DogulDomBendiely,firewood,teeŋ
DogulDomKundialang,firewood,tee+ⁿ
DonnoSo,firewood,tinu
JamsayDouentza,firewood,tin
JamsayDouentza,firewood,tin+ɲaasi+ru
Mombo,firewood,tee+ŋge
BonduSoNajamba,firewood,tee+ŋgo
Nanga,firewood,tirⁿi
Penange,firewood,tee+ŋge
PergeTegu,firewood,tirⁿi
TebulUre,firewood,tinee
TiranigeBoui,firewood,tee+ŋge
TiranigeNingo,firewood,tee
TogoKan,firewood,ti+ⁿ
TommoSoTongoTongo,firewood,tinu
TomoKanSegue,firewood,cu+ⁿ
ToroTegu,firewood,tirⁿu
YandaDom,firewood,tee
YornoSo,firewood,tin
BankanTey,charcoal,jɛmɛ+nejɛ+m
BenTey,charcoal,jɛɛrⁿɛ+jɛ+m
Bunoge,charcoal,kɛɛ+ŋgɔ
DogulDomBendiely,charcoal,gɛm+lɛ
DogulDomKundialang,charcoal,gɛm+lɛ
DonnoSo,charcoal,gɛmɛ+nɛ
JamsayGourou,charcoal,kirɛ
JamsayDouentza,charcoal,jɛŋɛ+rɛjɛ+m
Mombo,charcoal,geni+sii
BonduSoNajamba,charcoal,gɛmi+lɛ+ŋgo
BonduSoNajamba,charcoal,kuma+ŋgo
Nanga,charcoal,jɛmi+rⁿɛ
Penange,charcoal,kɛ+ŋgɔ
PergeTegu,charcoal,jɛm+nɛje+m
TebulUre,charcoal,jɛmɛɛ
Tiranige,charcoal,cɛɛ+ŋgɔ
TogoKan,charcoal,gɛwⁿɛ+rⁿɛ
TommoSoTongoTongo,charcoal,gɛmɛ+lɛ
TommoSoTongoTongo,charcoal,kilɛ
TomoKanSegue,charcoal,jijɛ+nɛ
ToroTegu,charcoal,jɛm+nɛ
YandaDom,charcoal,jɛm+nɛ
YornoSo,charcoal,gigɛ+rⁿɛ+m
BankanTey,"hot coal, ember",gooɲi+rⁿey+ⁿ
BenTey,"hot coal, ember",goobɔ+rⁿɔy+ⁿ
Bunoge,"hot coal, ember",gen+se
DogulDomBendiely,"hot coal, ember",gogoɛ+mɛgi+nɛ
DogulDomKundialang,"hot coal, ember",gogoɛ+mɛgi+nɛ
DonnoSo,"hot coal, ember",ɲaŋ+bede
JamsayDouentza,"hot coal, ember",nuwⁿo+cirɛ
Mombo,"hot coal, ember",ɲaa+ŋgo
BonduSoNajamba,"hot coal, ember",goloɔ+ndɔɔ
Nanga,"hot coal, ember",goopu+rⁿɔ
Penange,"hot coal, ember",gen+se
PergeTegu,"hot coal, ember",nuwⁿo+bɔrⁿɔ
TebulUre,"hot coal, ember",goobɔ+rⁿɔ
Tiranige,"hot coal, ember",jiye+se+ŋge
TogoKan,"hot coal, ember",ɲɛɛbɛɛ
TommoSoTongoTongo,"hot coal, ember",ɲa+mbɔ+nɔ
TomoKanSegue,"hot coal, ember",ɲaaci+ʔina
ToroTegu,"hot coal, ember",nuwⁿɔ+cɛŋa
YandaDom,"hot coal, ember",golo+bɔrⁿɔ
YandaDom,"hot coal, ember",golo+kunu
YornoSo,"hot coal, ember",ya+mbɔ+rⁿɔ
Ampari,ashes,dɔɔye
BankanTey,ashes,dɔyⁿɔ+y+ⁿ
BenTey,ashes,dɔyⁿɔ+y+ⁿ
Bunoge,ashes,diwɔ
DogulDomBendiely,ashes,dɔɔ
DogulDomKundialang,ashes,dɔɔ
DonnoSo,ashes,u+ndɔ
JamsayGourou,ashes,ɛɛrⁿɛ
JamsayDouentza,ashes,dɔyⁿɔ
Mombo,ashes,dwɛɛ
BonduSoNajamba,ashes,dɔdɛɛ+ŋgo
Nanga,ashes,duya
Penange,ashes,dwɛɛ
PergeTegu,ashes,dɔyⁿɔ
TebulUre,ashes,dɔɛ
Tiranige,ashes,dwɛɛ
TogoKan,ashes,dɔyⁿɛ
TommoSoTongoTongo,ashes,ɔi+ndɛ
TommoSoTongoTongo,ashes,ɔi+ndɛ
TomoKanSegue,ashes,dwɛ+ⁿ
ToroTegu,ashes,dowⁿo+su
YandaDom,ashes,dɔyⁿɛ
YornoSo,ashes,unɔ
Ampari,smoke,ku+mbe
BankanTey,smoke,kuku+mbo
BenTey,smoke,kuku+mbo
Bunoge,smoke,kuye
DogulDomBendiely,smoke,kum+mɛ
DogulDomKundialang,smoke,kum+me
DonnoSo,smoke,kum+mɔ
JamsayGourou,smoke,kuku+mo
JamsayDouentza,smoke,kuku+mɔ
JamsayMondoro,smoke,kiku+mo
Mombo,smoke,ku+mbe
BonduSoNajamba,smoke,ku+mbu
Nanga,smoke,ku+mbo
Penange,smoke,ku+mbe
PergeTegu,smoke,kuku+mbo
TebulUre,smoke,ku+mbo
Tiranige,smoke,ku+mu
TogoKan,smoke,kuku+mo
TommoSoTongoTongo,smoke,kum+mɔ
TomoKanSegue,smoke,kuⁿku+mi
ToroTegu,smoke,ku+mo
YandaDom,smoke,ku+mo
YornoSo,smoke,ku+mɔ
BankanTey,"extinguish, put out (fire)",j+ɛ
BenTey,"extinguish, put out (fire)",giy+ɛ
Bunoge,"extinguish, put out (fire)",dim+o+ŋg+e
DogulDomKundialang,"extinguish, put out (fire)",siyⁿ+ɛ
DonnoSo,"extinguish, put out (fire)",ɲaŋ+da+a
JamsayGourou,"extinguish, put out (fire)",ug+o
JamsayDouentza,"extinguish, put out (fire)",ug+o
Mombo,"extinguish, put out (fire)",min+i+ge
BonduSoNajamba,"extinguish, put out (fire)",kim+o+gi
BonduSoNajamba,"extinguish, put out (fire)",giy+ɛ
Nanga,"extinguish, put out (fire)",giy+ɛ
Penange,"extinguish, put out (fire)",nimb+ug+e
PergeTegu,"extinguish, put out (fire)",ug+o
TebulUre,"extinguish, put out (fire)",j+ɛ
Tiranige,"extinguish, put out (fire)",nim+go
TogoKan,"extinguish, put out (fire)",ɲɛɛd+a+rⁿ+a
TommoSoTongoTongo,"extinguish, put out (fire)",sɔɔ+ⁿ
TommoSoTongoTongo,"extinguish, put out (fire)",da+a
TomoKanSegue,"extinguish, put out (fire)",dɛl+ɛ
ToroTegu,"extinguish, put out (fire)",hum+ko
YandaDom,"extinguish, put out (fire)",j+ɛ
YornoSo,"extinguish, put out (fire)",da+a
DogulDomBendiely,coconut,koko
DogulDomKundialang,coconut,koko
PergeTegu,coconut,kookoo
Tiranige,coconut,kokoo
TogoKan,coconut,kako
TommoSoTongoTongo,coconut,koko
ToroTegu,coconut,kako
YandaDom,coconut,kokoo
YornoSo,coconut,kookoo
BankanTey,sugar cane,suka+rkɔ+ŋgu+rɔ
BenTey,sugar cane,siri+pala+kɔŋɔ+rɔ
Bunoge,sugar cane,mule
DogulDomBendiely,sugar cane,kala
DogulDomKundialang,sugar cane,kala
DonnoSo,sugar cane,kala
JamsayDouentza,sugar cane,sukɔ+rɔcee+ru
Mombo,sugar cane,ɛ+mba+du+mbɛ
BonduSoNajamba,sugar cane,suka+rasi+mba
Nanga,sugar cane,siri+balɛ+sɔ+gɔ
Penange,sugar cane,sin+ja+ndu+mbe
PergeTegu,sugar cane,siri+pala+keru
TebulUre,sugar cane,kala
Tiranige,sugar cane,u+mbu+liye
TogoKan,sugar cane,sugɔ+rɔke+ru
TommoSoTongoTongo,sugar cane,sana+gɛnɛ
TommoSoTongoTongo,sugar cane,kala
ToroTegu,sugar cane,suk+kara+tusu+ceru
YornoSo,sugar cane,sugɔ+rɔke+ru
Ampari,rice,ɛdɛ
BankanTey,rice,ara
BenTey,rice,aara
Bunoge,rice,ʔɛ+ndɛ+ge
DogulDomBendiely,rice,ara
DogulDomKundialang,rice,ara
DonnoSo,rice,ara
JamsayGourou,rice,ara
JamsayDouentza,rice,ara
JamsayMondoro,rice,ara
Mombo,rice,ɛrɛ
BonduSoNajamba,rice,ɔɔrɛ
Nanga,rice,aara
Penange,rice,ɛrɛɛ+ŋge
PergeTegu,rice,aara
TebulUre,rice,ara
Tiranige,rice,ɛrɛ+ge
TogoKan,rice,ara
TommoSoTongoTongo,rice,ara
TomoKanSegue,rice,ara
ToroTegu,rice,mɔ
YandaDom,rice,ada
YornoSo,rice,ara
BankanTey,"corn, maize",baraɛ+mbɛ+y
BenTey,"corn, maize",bar+mey+ⁿ
Bunoge,"corn, maize",dili+ma
DogulDomBendiely,"corn, maize",sami+yo+go
DogulDomKundialang,"corn, maize",sami+yo+go
DonnoSo,"corn, maize",samɛ+m+mɛ
JamsayGourou,"corn, maize",poro+yuyu+ⁿ
JamsayDouentza,"corn, maize",poroo+ɲuɲu
Mombo,"corn, maize",ɛ+mbɛ+dulu+ma
BonduSoNajamba,"corn, maize",made+mba+ŋgo
Nanga,"corn, maize",jarⁿa+mbɛ
Penange,"corn, maize",dal+mayo+go
PergeTegu,"corn, maize",baraɛɛ+mbɛ
TebulUre,"corn, maize",sarⁿaɛ+mbɛ
Tiranige,"corn, maize",duma+yoo+ge
TogoKan,"corn, maize",maɲɛ+rⁿɛ+ma
TommoSoTongoTongo,"corn, maize",sanaɛ+m+mɛ
TomoKanSegue,"corn, maize",man+jara+ɲu+ma
ToroTegu,"corn, maize",tɔrⁿi+yⁿarⁿa
YandaDom,"corn, maize",sanaɛ+mɛ
YornoSo,"corn, maize",sarⁿaɛ+mɛ
BankanTey,wheat,alka+ma
BenTey,wheat,alka+ma
DogulDomBendiely,wheat,araka+ma
DogulDomKundialang,wheat,arka+ma
DonnoSo,wheat,alka+ma
JamsayDouentza,wheat,alka+ma
BonduSoNajamba,wheat,alka+ma
Nanga,wheat,alka+ma
PergeTegu,wheat,arka+ma
TebulUre,wheat,alka+ma
Tiranige,wheat,alka+ma
TogoKan,wheat,alkaa+ma
TommoSoTongoTongo,wheat,arka+ma
YandaDom,wheat,arka+ma
YornoSo,wheat,alka+ma
BankanTey,cow-pea,nu+mii
BenTey,cow-pea,nuwⁿii+ⁿ
Bunoge,cow-pea,nunu+ŋge
DogulDomBendiely,cow-pea,nu+m
DogulDomKundialang,cow-pea,nu+m
DonnoSo,cow-pea,nuŋ
JamsayDouentza,cow-pea,ni+m
JamsayMondoro,cow-pea,ni+m
Mombo,cow-pea,nu+ŋge
BonduSoNajamba,cow-pea,nu+mbu+ŋgo
Nanga,cow-pea,ni+mi
Penange,cow-pea,num+ge
PergeTegu,cow-pea,nu+m
TebulUre,cow-pea,ni+me
Tiranige,cow-pea,nunu+ŋge
TogoKan,cow-pea,nii
TommoSoTongoTongo,cow-pea,nu+m
TomoKanSegue,cow-pea,ɲiʔi+ⁿ
ToroTegu,cow-pea,nu+m
YandaDom,cow-pea,ni+m
YornoSo,cow-pea,nu+m
BenTey,cassava,bana+kuku+bere
Bunoge,cassava,bana+ŋku
DogulDomBendiely,cassava,kuu
DogulDomKundialang,cassava,kuku+bee+g
DonnoSo,cassava,bana+ŋku+tan+na
JamsayDouentza,cassava,bala+kukuⁿ+bere
Mombo,cassava,bala+kuku+ⁿ
BonduSoNajamba,cassava,bana+ŋku+ku+ŋgo
Nanga,cassava,ban+ji
Nanga,cassava,bana+kuri+bere
Penange,cassava,dal+mayo+go
PergeTegu,cassava,bana+kuru+woso
TebulUre,cassava,barⁿa+kuku+ⁿ
Tiranige,cassava,bana+ŋku+ku
TogoKan,cassava,bana+kuku+baa+ga
TommoSoTongoTongo,cassava,bana+nku+ti+mɛ
TommoSoTongoTongo,cassava,tan+naa
TomoKanSegue,cassava,bɛnɛ+nɛku
YandaDom,cassava,bana+kul+tana
YornoSo,cassava,wojo
BankanTey,sweet potato,masa+ku
BenTey,sweet potato,bana+kuku+bu+mbɔ
BenTey,sweet potato,bana+kuku+wosoo
Bunoge,sweet potato,ku
DogulDomBendiely,sweet potato,jɔ+gɔ
DogulDomKundialang,sweet potato,kuuɔnɔ+nɔŋ
DonnoSo,sweet potato,kuu
JamsayGourou,sweet potato,woso
JamsayDouentza,sweet potato,woso
JamsayDouentza,sweet potato,masa+kuku
JamsayDouentza,sweet potato,bala+kukuⁿ+ɲaa
Mombo,sweet potato,kuku+ⁿ
BonduSoNajamba,sweet potato,masa+kuku+ŋgo
Nanga,sweet potato,woso
Nanga,sweet potato,bana+kuri
Nanga,sweet potato,bana+kur
Penange,sweet potato,woso
PergeTegu,sweet potato,woso
TebulUre,sweet potato,barⁿa+kukuⁿ+bu+mba
Tiranige,sweet potato,masa+kuku
TogoKan,sweet potato,bana+kuu
TommoSoTongoTongo,sweet potato,bana+nku+bu+mbɔ
TomoKanSegue,sweet potato,masa+ku
ToroTegu,sweet potato,masa+ku
ToroTegu,sweet potato,woso
YandaDom,sweet potato,bana+kul+bu+mbɔ
YornoSo,sweet potato,barⁿa+kuu
BankanTey,cassava (manioc) or sweet potato,bana+ŋku
BenTey,cassava (manioc) or sweet potato,bana+kuku
DonnoSo,cassava (manioc) or sweet potato,kuu
JamsayGourou,cassava (manioc) or sweet potato,bana+kuku
JamsayDouentza,cassava (manioc) or sweet potato,bana+kuku+ⁿ
JamsayDouentza,cassava (manioc) or sweet potato,bala+kuku+ⁿ
Mombo,cassava (manioc) or sweet potato,kuku+ⁿ
Nanga,cassava (manioc) or sweet potato,bana+kuri
Nanga,cassava (manioc) or sweet potato,bana+kur
Tiranige,cassava (manioc) or sweet potato,bana+ŋku+ku
TogoKan,cassava (manioc) or sweet potato,bana+kuu
TommoSoTongoTongo,cassava (manioc) or sweet potato,bana+nku
ToroTegu,cassava (manioc) or sweet potato,bana+ŋku
YandaDom,cassava (manioc) or sweet potato,bana+kul
YandaDom,cassava (manioc) or sweet potato,bana+kuku
YornoSo,cassava (manioc) or sweet potato,barⁿa+kuu
Ampari,potato,pɔm+tɛɛr
BankanTey,potato,pom+teeri
BankanTey,potato,pom+tɛɛr
BenTey,potato,pɔm+dətɛɛ+r
DogulDomBendiely,potato,pom+tɛɛr
DogulDomKundialang,potato,pɔm+tɛɛr
DonnoSo,potato,pɔm+tɛɛr
JamsayDouentza,potato,pɔm+tɛɛru
Mombo,potato,pomu+teeru
BonduSoNajamba,potato,po+mbi+tee+r
BonduSoNajamba,potato,pɔ+mbu+tɛɛ+ru
Nanga,potato,pɔm+tɛɛr
PergeTegu,potato,pɔm+tɛɛr
TogoKan,potato,pɔm+tɛɛru
TommoSoTongoTongo,potato,pɔm+tɛr
TomoKanDiangassagou,potato,pɔm+tɛɛru+ru
ToroTegu,potato,pɔ+mpi+tɛɛ+r
YandaDom,potato,pɔm+tɛɛru
YornoSo,potato,pɔm+tɛɛr
BankanTey,yam (Dioscorea),kuku
BenTey,yam (Dioscorea),kuku
DogulDomBendiely,yam (Dioscorea),kuu
DogulDomKundialang,yam (Dioscorea),kuku
DonnoSo,yam (Dioscorea),kuu
DonnoSo,yam (Dioscorea),kuku+baa
JamsayGourou,yam (Dioscorea),kuku
JamsayDouentza,yam (Dioscorea),kuku
Mombo,yam (Dioscorea),kuku+ba
BonduSoNajamba,yam (Dioscorea),kuku+nii
Nanga,yam (Dioscorea),kuku
PergeTegu,yam (Dioscorea),kuku
TebulUre,yam (Dioscorea),kuu
TogoKan,yam (Dioscorea),kuu
TommoSoTongoTongo,yam (Dioscorea),kuu
TomoKanSegue,yam (Dioscorea),ku
ToroTegu,yam (Dioscorea),kuku
YandaDom,yam (Dioscorea),kuu
YornoSo,yam (Dioscorea),kuu
BankanTey,squash,gɔɔrⁿɔ
BenTey,squash,gɔɔrⁿɔ
Bunoge,squash,po+mba
DogulDomBendiely,squash,gɔnɔ
DogulDomKundialang,squash,gɔnɔɔ
DonnoSo,squash,gɔnɔ
JamsayDouentza,squash,gɔɔrⁿɔ
Mombo,squash,gaw+ⁿ
BonduSoNajamba,squash,gone+ŋgo
Nanga,squash,gɔɔrⁿɔ
Penange,squash,bo+go
PergeTegu,squash,gɔɔrⁿɔ
TebulUre,squash,gɔrⁿɔ
TogoKan,squash,ga+mu
TommoSoTongoTongo,squash,gɔnɔ
ToroTegu,squash,gɔɔrⁿɔ
YandaDom,squash,gorⁿɔ
YornoSo,squash,gɔrⁿɔ
BankanTey,"farmer, peasant",wo+ŋgu+ro+wa+ru+m
BenTey,"farmer, peasant",yuyu+waru+m
BenTey,"farmer, peasant",wo+ŋgo+ro+wa+ru+m
Bunoge,"farmer, peasant",woli+walo+bo
DogulDomBendiely,"farmer, peasant",gɔlɔ+gɔl
DogulDomKundialang,"farmer, peasant",gɔlɔɔ+gɔl
DonnoSo,"farmer, peasant",yuyu+walu+nɛ
JamsayGourou,"farmer, peasant",waru+wara+n
JamsayDouentza,"farmer, peasant",waru+wara+n
Mombo,"farmer, peasant",kuba+kubi
BonduSoNajamba,"farmer, peasant",gɔlɛ+gole
Nanga,"farmer, peasant",wori+wari
Nanga,"farmer, peasant",yuyu+wari
Penange,"farmer, peasant",kubaa+kubu
PergeTegu,"farmer, peasant",waru+wara+n
TebulUre,"farmer, peasant",yuwaa+wale
TebulUre,"farmer, peasant",yuwa+le
Tiranige,"farmer, peasant",kuwɔ+kuwi
TogoKan,"farmer, peasant",waru+wara
TommoSoTongoTongo,"farmer, peasant",wolu+wali+nɛ
TomoKanSegue,"farmer, peasant",kubɛ+rɛku+bɛ+ⁿ
ToroTegu,"farmer, peasant",wara+wan
YandaDom,"farmer, peasant",gɔlɔ+gɔl
YornoSo,"farmer, peasant",wol+wala+nɛ
BankanTey,"work in the fields, do farm work (verb only)",war+a
BenTey,"work in the fields, do farm work (verb only)",war+a
Bunoge,"work in the fields, do farm work (verb only)",wal+e
DogulDomKundialang,"work in the fields, do farm work (verb only)",gɔl+ɛ
DonnoSo,"work in the fields, do farm work (verb only)",wal+a
JamsayDouentza,"work in the fields, do farm work (verb only)",war+a
Mombo,"work in the fields, do farm work (verb only)",kub+ɔ+kub+ɛ
BonduSoNajamba,"work in the fields, do farm work (verb only)",gɔl+ɛ
Nanga,"work in the fields, do farm work (verb only)",war+a
Penange,"work in the fields, do farm work (verb only)",kub+ɛ
PergeTegu,"work in the fields, do farm work (verb only)",war+a
TebulUre,"work in the fields, do farm work (verb only)",wa+a
Tiranige,"work in the fields, do farm work (verb only)",kuw+ɔ
TogoKan,"work in the fields, do farm work (verb only)",war+a
TommoSoTongoTongo,"work in the fields, do farm work (verb only)",wol+u+wal+a
TomoKanSegue,"work in the fields, do farm work (verb only)",kub+ɛ
ToroTegu,"work in the fields, do farm work (verb only)",war+a
YandaDom,"work in the fields, do farm work (verb only)",gɔl+ɔ
YornoSo,"work in the fields, do farm work (verb only)",wal+a
BankanTey,cultivated field (for millet etc.) (general word),ɲirⁿaa
BenTey,cultivated field (for millet etc.) (general word),irⁿa
Bunoge,cultivated field (for millet etc.) (general word),bila
DogulDomBendiely,cultivated field (for millet etc.) (general word),ɔŋunu
DogulDomKundialang,cultivated field (for millet etc.) (general word),yalaa
DonnoSo,cultivated field (for millet etc.) (general word),min+nɛ
JamsayGourou,cultivated field (for millet etc.) (general word),e+gu
JamsayDouentza,cultivated field (for millet etc.) (general word),eju
JamsayMondoro,cultivated field (for millet etc.) (general word),eju
Mombo,cultivated field (for millet etc.) (general word),yala+kub+ye
BonduSoNajamba,cultivated field (for millet etc.) (general word),yalii+ŋge
Nanga,cultivated field (for millet etc.) (general word),nna
Nanga,cultivated field (for millet etc.) (general word),ina
Penange,cultivated field (for millet etc.) (general word),yala
PergeTegu,cultivated field (for millet etc.) (general word),woru
TebulUre,cultivated field (for millet etc.) (general word),a+nda
TebulUre,cultivated field (for millet etc.) (general word),wol+go
Tiranige,cultivated field (for millet etc.) (general word),yala
TogoKan,cultivated field (for millet etc.) (general word),woru
TommoSoTongoTongo,cultivated field (for millet etc.) (general word),min+nɛ
TomoKanSegue,cultivated field (for millet etc.) (general word),ʔye+y
ToroTegu,cultivated field (for millet etc.) (general word),oru
YandaDom,cultivated field (for millet etc.) (general word),oy
YandaDom,cultivated field (for millet etc.) (general word),mɛnɛ
YornoSo,cultivated field (for millet etc.) (general word),minɛ
BankanTey,boundary (of field),iya
BenTey,boundary (of field),iyay
BenTey,boundary (of field),sarⁿa
Bunoge,boundary (of field),kole+ŋge
DogulDomBendiely,boundary (of field),kalu+g
DogulDomKundialang,boundary (of field),kal+gu
DonnoSo,boundary (of field),daŋ
DonnoSo,boundary (of field),kalu
JamsayGourou,boundary (of field),urɔ
JamsayDouentza,boundary (of field),urɔ
Mombo,boundary (of field),pi+ŋgi
BonduSoNajamba,boundary (of field),kaloo
Nanga,boundary (of field),sarⁿa
Penange,boundary (of field),kale
PergeTegu,boundary (of field),urɔ
TebulUre,boundary (of field),gɔɔ
TebulUre,boundary (of field),kale
Tiranige,boundary (of field),bɔw+ⁿ
TogoKan,boundary (of field),urɔ
TommoSoTongoTongo,boundary (of field),min+nɛka+le
TomoKanSegue,boundary (of field),ʔula
ToroTegu,boundary (of field),hulɛ
YandaDom,boundary (of field),kale
YornoSo,boundary (of field),ulɔ
BankanTey,"daba (hoe-like tool for weeding, using a pulling action, all types)",wara
BenTey,"daba (hoe-like tool for weeding, using a pulling action, all types)",wara
Bunoge,"daba (hoe-like tool for weeding, using a pulling action, all types)",de+mbe
DogulDomKundialang,"daba (hoe-like tool for weeding, using a pulling action, all types)",dam+maŋ
JamsayGourou,"daba (hoe-like tool for weeding, using a pulling action, all types)",kɔy+ⁿ
JamsayDouentza,"daba (hoe-like tool for weeding, using a pulling action, all types)",kɔy+ⁿ
JamsayMondoro,"daba (hoe-like tool for weeding, using a pulling action, all types)",kɔy+ⁿ
Mombo,"daba (hoe-like tool for weeding, using a pulling action, all types)",daa+mbe
BonduSoNajamba,"daba (hoe-like tool for weeding, using a pulling action, all types)",daba
Nanga,"daba (hoe-like tool for weeding, using a pulling action, all types)",wara
Penange,"daba (hoe-like tool for weeding, using a pulling action, all types)",daa+mbɛ
PergeTegu,"daba (hoe-like tool for weeding, using a pulling action, all types)",wara
TebulUre,"daba (hoe-like tool for weeding, using a pulling action, all types)",arⁿawaa
TogoKan,"daba (hoe-like tool for weeding, using a pulling action, all types)",kɔ+ⁿ
TommoSoTongoTongo,"daba (hoe-like tool for weeding, using a pulling action, all types)",daba
TommoSoTongoTongo,"daba (hoe-like tool for weeding, using a pulling action, all types)",dam+ma
ToroTegu,"daba (hoe-like tool for weeding, using a pulling action, all types)",daba
YandaDom,"daba (hoe-like tool for weeding, using a pulling action, all types)",wala
YornoSo,"daba (hoe-like tool for weeding, using a pulling action, all types)",ɛrⁿɛ
BankanTey,"seedstock, seeds for sowing",toy
BankanTey,"seedstock, seeds for sowing",kɔ+nto+y
BenTey,"seedstock, seeds for sowing",toy
Bunoge,"seedstock, seeds for sowing",ʔam+ge
DogulDomKundialang,"seedstock, seeds for sowing",nuwo
DonnoSo,"seedstock, seeds for sowing",yu+gee
JamsayGourou,"seedstock, seeds for sowing",toy
JamsayDouentza,"seedstock, seeds for sowing",toy
Mombo,"seedstock, seeds for sowing",nugu+ji
BonduSoNajamba,"seedstock, seeds for sowing",toy+ŋgo
Nanga,"seedstock, seeds for sowing",too
Penange,"seedstock, seeds for sowing",nugu+rye
PergeTegu,"seedstock, seeds for sowing",toy
TebulUre,"seedstock, seeds for sowing",too
Tiranige,"seedstock, seeds for sowing",kɔlɛ+jɛ
TogoKan,"seedstock, seeds for sowing",noŋo
TommoSoTongoTongo,"seedstock, seeds for sowing",dɛ+nto+w
TomoKanSegue,"seedstock, seeds for sowing",looʔii+ⁿ
ToroTegu,"seedstock, seeds for sowing",tow
YandaDom,"seedstock, seeds for sowing",toŋ
YornoSo,"seedstock, seeds for sowing",dɛrⁿɛ+toy
BankanTey,sow (seeds) in a pit with manure after the first rains,goond+ɔs+ɔɔgon+do
JamsayDouentza,sow (seeds) in a pit with manure after the first rains,aweg+u+weg+e
BonduSoNajamba,sow (seeds) in a pit with manure after the first rains,pur+yɛw+kan
PergeTegu,sow (seeds) in a pit with manure after the first rains,toy+mayⁿ
TommoSoTongoTongo,sow (seeds) in a pit with manure after the first rains,bil+i+mt+ɛgɛ
YandaDom,sow (seeds) in a pit with manure after the first rains,weg+u+wɛg+ɛ
BenTey,"turn over (earth in field, with daba, to hold rainwater or to weed around peanut plants)",bɔg+u+ru
DonnoSo,"turn over (earth in field, with daba, to hold rainwater or to weed around peanut plants)",bɔg+ɔ+lɔ
JamsayDouentza,"turn over (earth in field, with daba, to hold rainwater or to weed around peanut plants)",bɔɣ+ɔ+rɔ
Mombo,"turn over (earth in field, with daba, to hold rainwater or to weed around peanut plants)",kub+ɔ+kub+ɛ
BonduSoNajamba,"turn over (earth in field, with daba, to hold rainwater or to weed around peanut plants)",bind+e
Nanga,"turn over (earth in field, with daba, to hold rainwater or to weed around peanut plants)",bɔg+u+ru
Nanga,"turn over (earth in field, with daba, to hold rainwater or to weed around peanut plants)",bind+em+i
PergeTegu,"turn over (earth in field, with daba, to hold rainwater or to weed around peanut plants)",bɔg+ɔ+rɔ
TebulUre,"turn over (earth in field, with daba, to hold rainwater or to weed around peanut plants)",bɔg+u+ru
TogoKan,"turn over (earth in field, with daba, to hold rainwater or to weed around peanut plants)",bɔg+ɔ+rɔ
TommoSoTongoTongo,"turn over (earth in field, with daba, to hold rainwater or to weed around peanut plants)",bɔg+u+rɔ
ToroTegu,"turn over (earth in field, with daba, to hold rainwater or to weed around peanut plants)",kus+o
YandaDom,"turn over (earth in field, with daba, to hold rainwater or to weed around peanut plants)",bɔg+u+rɔ
DogulDomBendiely,millet harvest (noun),gɛɛl
Mombo,millet harvest (noun),yooge+jeli
BonduSoNajamba,millet harvest (noun),yoge+gii
Nanga,millet harvest (noun),girⁿa
TommoSoTongoTongo,millet harvest (noun),yuugi+ye
TommoSoTongoTongo,millet harvest (noun),gɛlu
BenTey,"thresh by pounding hard (rice, occasionally millet) with large clubs on the ground or on a mat",suy+ɔ
Bunoge,"thresh by pounding hard (rice, occasionally millet) with large clubs on the ground or on a mat",numb+e
DogulDomKundialang,"thresh by pounding hard (rice, occasionally millet) with large clubs on the ground or on a mat",bund+e
DonnoSo,"thresh by pounding hard (rice, occasionally millet) with large clubs on the ground or on a mat",lag+a
JamsayDouentza,"thresh by pounding hard (rice, occasionally millet) with large clubs on the ground or on a mat",lag+a
Nanga,"thresh by pounding hard (rice, occasionally millet) with large clubs on the ground or on a mat",suy+ɔ
Penange,"thresh by pounding hard (rice, occasionally millet) with large clubs on the ground or on a mat",bund+e
TebulUre,"thresh by pounding hard (rice, occasionally millet) with large clubs on the ground or on a mat",pog+o
TogoKan,"thresh by pounding hard (rice, occasionally millet) with large clubs on the ground or on a mat",lag+a
TomoKanSegue,"thresh by pounding hard (rice, occasionally millet) with large clubs on the ground or on a mat",cɛb+ɛ
YandaDom,"thresh by pounding hard (rice, occasionally millet) with large clubs on the ground or on a mat",bund+o
YornoSo,"thresh by pounding hard (rice, occasionally millet) with large clubs on the ground or on a mat",lag+a
YornoSo,"thresh by pounding hard (rice, occasionally millet) with large clubs on the ground or on a mat",bun+ɔ
BankanTey,"reap, cut (stems, e.g. harvesting rice or roselle) by slashing with a sickle",ga
BenTey,"reap, cut (stems, e.g. harvesting rice or roselle) by slashing with a sickle",ga
Bunoge,"reap, cut (stems, e.g. harvesting rice or roselle) by slashing with a sickle",sɛl+ɛ
DogulDomKundialang,"reap, cut (stems, e.g. harvesting rice or roselle) by slashing with a sickle",sɛm+ɛ
DonnoSo,"reap, cut (stems, e.g. harvesting rice or roselle) by slashing with a sickle",ga+a
JamsayGourou,"reap, cut (stems, e.g. harvesting rice or roselle) by slashing with a sickle",wa+a
JamsayDouentza,"reap, cut (stems, e.g. harvesting rice or roselle) by slashing with a sickle",wa+a
JamsayMondoro,"reap, cut (stems, e.g. harvesting rice or roselle) by slashing with a sickle",wa+a
