DOCULECT,GLOSS,IPA
YornoSo,dog,iju
BankanTey,goat,bɛru+m
BenTey,goat,bɛri+m
BenTey,goat,bɛru+m
Bunoge,goat,kilɔ
DogulDomBendiely,goat,inaa
DogulDomKundialang,goat,inaa
DonnoSo,goat,ɛnɛ
JamsayGourou,goat,bɛru
JamsayDouentza,goat,bɛru
JamsayDouentza,goat,bɛn+naa
JamsayDouentza,goat,ɛrⁿɛ
JamsayMondoro,goat,bɛru
Mombo,goat,una
BonduSoNajamba,goat,ine
Nanga,goat,bɛri
Nanga,goat,mirⁿe
Nanga,goat,mɛrⁿɛ
Penange,goat,una
PergeTegu,goat,ɛrⁿɛ
TebulUre,goat,irⁿee
TebulUre,goat,irⁿee
Tiranige,goat,una
TogoKan,goat,ɛrⁿɛ
TommoSoTongoTongo,goat,ɛnɛ
TomoKanDiangassagou,goat,gɛɛ
TomoKanSegue,goat,gɛ
ToroTegu,goat,ɛrⁿa
YandaDom,goat,ʔənɛ
YornoSo,goat,ɛrⁿɛ
BankanTey,goat kid,bɛr+yi+m
BenTey,goat kid,bɛr+yi+m
DogulDomBendiely,goat kid,inaae+gu
DonnoSo,goat kid,ɛnɛii
JamsayDouentza,goat kid,bɛrⁿii+ⁿ
Mombo,goat kid,unawee
BonduSoNajamba,goat kid,naajii
Nanga,goat kid,bɛr+yii
TebulUre,goat kid,inɛdɛ
TogoKan,goat kid,ɛrⁿii+ⁿ
TommoSoTongoTongo,goat kid,ɛnɛii
ToroTegu,goat kid,ɛrⁿairⁿii
YandaDom,goat kid,ʔəni+ye
YornoSo,goat kid,ɛrⁿɛii
BenTey,"billygoat, male goat",bɛra+ji+m
BenTey,"billygoat, male goat",bɛra+rⁿa+m
DonnoSo,"billygoat, male goat",ɛnɛana
JamsayGourou,"billygoat, male goat",bɛrua+gii
JamsayDouentza,"billygoat, male goat",bɛra+jii
JamsayDouentza,"billygoat, male goat",bɛrua+rⁿa
Mombo,"billygoat, male goat",unawa+la
BonduSoNajamba,"billygoat, male goat",ineane
Nanga,"billygoat, male goat",bɛra+rⁿa
TebulUre,"billygoat, male goat",inearⁿa
TogoKan,"billygoat, male goat",ɛrⁿɛarⁿa
TommoSoTongoTongo,"billygoat, male goat",ɛnɛana
TomoKanSegue,"billygoat, male goat",gɛjii
ToroTegu,"billygoat, male goat",ɛrⁿaara
YandaDom,"billygoat, male goat",ʔənɛa+n
YornoSo,"billygoat, male goat",ɛrⁿɛarⁿa
BankanTey,sheep,pɛrɛ+m
BenTey,sheep,pɛrɛ+m
Bunoge,sheep,ʔala+ma
DogulDomBendiely,sheep,pesi+gi
DogulDomKundialang,sheep,pes+ge
DonnoSo,sheep,pedu
JamsayGourou,sheep,peezu
JamsayDouentza,sheep,peeju
JamsayMondoro,sheep,peeju
Mombo,sheep,anna
BonduSoNajamba,sheep,pɛ+gɛ
Nanga,sheep,pɛr+gɛ
Penange,sheep,alamu+nɔ
PergeTegu,sheep,peesu
TebulUre,sheep,ped+de
Tiranige,sheep,a+mba
Tiranige,sheep,aana
TogoKan,sheep,peju
TommoSoTongoTongo,sheep,pedu
TomoKanDiangassagou,sheep,peji
TomoKanSegue,sheep,peji
ToroTegu,sheep,bɛlu
YandaDom,sheep,pɛɛ
YornoSo,sheep,peju
BenTey,lamb,pɛrɛ+yi+m
DonnoSo,lamb,peduii
JamsayDouentza,lamb,peejii+ⁿ
Mombo,lamb,anna+wee
BonduSoNajamba,lamb,pɛgɛe+ndee
Nanga,lamb,pɛr+gɛyii
TebulUre,lamb,ped+deɛdɛ
TogoKan,lamb,pejii+ⁿ
TommoSoTongoTongo,lamb,peduii
ToroTegu,lamb,bɛlui+rⁿii
YandaDom,lamb,pɛy+ye
YornoSo,lamb,pejuii
BankanTey,ewe,pɛrɛ+ya+m
BenTey,ewe,pɛrɛ+ya+m
JamsayDouentza,ewe,peeju+naa
Mombo,ewe,anna+yɔɔ
BonduSoNajamba,ewe,pɛgɛ+yɛɛ
Nanga,ewe,pɛr+gɛya+ŋ
TogoKan,ewe,peju+naa
TommoSoTongoTongo,ewe,pedu+yaa
TomoKanSegue,ewe,peji+yaa
ToroTegu,ewe,bɛlu+ya
YandaDom,ewe,pɛɛyɛ
YornoSo,ewe,peju+yaa
BenTey,ram,pɛrɛa+rⁿa+m
DonnoSo,ram,pedua+na
JamsayGourou,ram,peezua+gii
JamsayDouentza,ram,peejua+rⁿa
Mombo,ram,anna+wala
BonduSoNajamba,ram,pɛgaa+ne
Nanga,ram,pɛr+gɛarⁿa
TogoKan,ram,pejua+rⁿa
TommoSoTongoTongo,ram,pedua+na
TomoKanSegue,ram,peji+jeⁿje+ⁿ
ToroTegu,ram,bɛlua+ra
ToroTegu,ram,bɛlaa+ra
YornoSo,ram,pejua+rⁿa
BankanTey,horse,so+m
BenTey,horse,so+m
Bunoge,horse,se
DogulDomBendiely,horse,so+mu
DogulDomKundialang,horse,so+m
DonnoSo,horse,soŋ
JamsayGourou,horse,so+m
JamsayDouentza,horse,so+m
Mombo,horse,soɲo+ni
BonduSoNajamba,horse,bane
BonduSoNajamba,horse,ban
Nanga,horse,soŋ
Penange,horse,son+jo+m
PergeTegu,horse,so+m
TebulUre,horse,so+me
TiranigeBoui ,horse,soɲo+ni
TiranigeNingo ,horse,so+ɲjo+ni
TogoKan,horse,sɔ+ⁿ
TommoSoTongoTongo,horse,so+m
ToroTegu,horse,so+ŋgu
ToroTegu,horse,soŋu
ToroTegu,horse,soŋ
YandaDom,horse,so+m
YornoSo,horse,so+m
BankanTey,pigeon (domestic),turu+su+m
BenTey,pigeon (domestic),gɔɔⁿ+m
Bunoge,pigeon (domestic),kunɛ+kunɛ+saa+mba
DogulDomBendiely,pigeon (domestic),gula+mba
DogulDomBendiely,pigeon (domestic),gula+mpa
DogulDomKundialang,pigeon (domestic),gula+mpa
DonnoSo,pigeon (domestic),gulɔ+mbɔ
JamsayDouentza,pigeon (domestic),kika+ja
JamsayMondoro,pigeon (domestic),gu+mba
JamsayMondoro,pigeon (domestic),kika+ja
Mombo,pigeon (domestic),debu+gu+mba+gu+mba
BonduSoNajamba,pigeon (domestic),gur+mbaa
Nanga,pigeon (domestic),jaa+mba
Penange,pigeon (domestic),pol+malaa+ndi
PergeTegu,pigeon (domestic),kaka+sa
TebulUre,pigeon (domestic),kaga+da
Tiranige,pigeon (domestic),gulu+mba
TogoKan,pigeon (domestic),pele+gu+mo
TommoSoTongoTongo,pigeon (domestic),guru+mbaa
TomoKanDiangassagou,pigeon (domestic),pele+bu+mba+la
TomoKanSegue,pigeon (domestic),pye+lebu+mba+la
ToroTegu,pigeon (domestic),tusu+m
YandaDom,pigeon (domestic),gulu+mba
YornoSo,pigeon (domestic),guru+maa
BankanTey,bird (any),nii+m
BenTey,bird (any),niiyⁿi+m
Bunoge,bird (any),niibe
DogulDomBendiely,bird (any),legee+gu
DogulDomBendiely,bird (any),negee+gu
DogulDomKundialang,bird (any),negee+g
