Grapheme	IPA
ɛ̀.ɛ̀.n	ɛ̀.ɛ̀.n
ɛ̀.ɛ̀.n	ɛ̀.ɛ̀.n
ɛ᷈:	ɛ̀.ɛ̀
ɛ́.ɛ̀.n	ɛ́.ɛ̀.n
ɛ́.ɛ̀.n	ɛ́.ɛ̀.n
ɛ̀.ɛ́.n	ɛ̀.ɛ́.n
ɛ̀.ɛ́.n	ɛ̀.ɛ́.n
ɛ̀.ɛ̀.n	ɛ̀.ɛ̀.n
f	f
ɣ	ɣ
g	ɡ
ǵ	ɡ
ɡ	ɡ
ɡʷ	ɡ.w
h	h
ɥ	ɥ
hʷ	h.w
i	i
í	í
í̀	î
ì́	ǐ
ɪ́	í
ì	ì
ɪ̀	ɪ̀
î	î
î"	î
ǐ	ǐ
iⁿ	i.n
íⁿ	í.n
íⁿ̀	í.n
iⁿ̀	ì.n
ìⁿ	ì.n
i᷈:	ǐ.ì
îⁿ	î.n
ǐⁿ	ǐ.n
i:	i.i
ì::	ì.ì.ì
i:́	í.í
í:	í.í
íí	í.í
ɪ́ɪ́	ɪ́.ɪ́
i:̀	ì.ì
ì:	ì.ì
ìì	ì.ì
ɪ̀ɪ̀	ɪ̀.ɪ̀
î:	í.ì
íì	í.ì
ɪ́ɪ̀	ɪ́.ɪ̀
ǐ:	ɪ̀.í
ìí	ì.í
ɪ̀ɪ́	ɪ̀.ɪ́
í:ⁿ	í.í.n
í̀:ⁿ	í.ì.n
ĩ́ĩ́	í.í.n
ííⁿ	í.í.n
ɪ́ɪ́ⁿ	ɪ́.ɪ́.n
ì:ⁿ	ì.ì.n
ììⁿ 	ì.ì.n
ɪ̀ɪ̀ⁿ	ɪ̀.ɪ̀.n
î:ⁿ	í.ì.n
ĩ́ĩ̀	í.ì.n
íìⁿ	í.ì.n
ɪ́ɪ̀ⁿ	ɪ́.ɪ̀.n
ǐ:ⁿ	ɪ̀.ɪ́.n
ĩ̀ĩ́	ì.í.n
ìíⁿ	ì.í.n
ɪ̀ɪ́ⁿ	ɪ̀.ɪ́.n
i᷈:ⁿ	ì.ì.n
y	j
yᵇ	j.b
ý	j
ỳ	j
y.n	j.n
ỳ.n	j.n
 ý̰.n	j.n
^:r	r
áà:y	á.à.à.j
àà:	à.à
àá:	à.á
ɛ́ɛ̀:	ɛ́.ɛ̀
Ǹ	n
èé:	è.é
ìí:	ì.í
ỳⁿ	j.n
ɔ̌:́	ɔ̀.ɔ́
ŷ.n	j.n
ʄ	ʄ
y:	j.j
k	k
ḱ	k
ɛ̀.ɛ́.n	ɛ̀.ɛ́.n
kʷ	k.w
l	l
-_	+
ĺ	l
_-	+
_-$	NULL
-_$	NULL
_X-	+
l̀	l
l:	l.l
:m	m
m	m
ḿ	m
m̀	m
m̀ᵇ	m̀ᵇ
m̀:	m
