Grapheme	IPA
ɔ̀=ɔ̀	ɔ̀.ɔ̀
ɔ̀ɔ̀	ɔ̀.ɔ̀
ɔ̀ɔ̀ⁿ	ɔ̀.ɔ̀.∼
ɔ̀ɔ́	ɔ̀.ɔ́
ɔ̀ɔ́ⁿ	ɔ̀.ɔ́.∼
ɔ̀ᵃ	ɔ̀
ɔ̀ⁿ	ɔ̀.∼
ɔ̀ⁿ̀	ɔ̀.∼
ɔ́	ɔ́
ɔ́:	ɔ́.ɔ́
ɔ́:ⁿ	ɔ́.ɔ́.∼
ɔ́ɔ̀	ɔ́.ɔ̀
ɔ́ɔ̀ⁿ	ɔ́.ɔ̀.∼
ɔ́ɔ́	ɔ́.ɔ́
ɔ́ɔ́ⁿ	ɔ́.ɔ́.∼
ɔ́ⁿ	ɔ́.∼
ɔ̂	ɔ̂
ɔ̂:	ɔ́.ɔ̀
ɔ̂:ⁿ	ɔ́.ɔ̀.∼
ɔ̂ⁿ	ɔ̂.∼
ɔ̃	ɔ.∼
ɔ̃̀	ɔ.∼
ɔ̃́	ɔ.∼
ɔ̌	ɔ̌
ɔ̌:	ɔ̀.ɔ́
ɔ̌:ⁿ	ɔ̀.ɔ́.∼
ɔ̌ⁿ	ɔ̌.∼
ɔ᷈	ɔ̌
ɔ᷈:	ɔ̀.ɔ̀.
ɔ᷈:ⁿ	ɔ̀.ɔ̀.∼
ɔ᷈ⁿ	ɔ̌.∼
ɔⁿ	ɔⁿ
d	d
ɗ	ɗ
ð	ð
dʷ	dʷ
ʤ	dʒ
j	dʒ
e	e
e:	e.e
è	è
è:	è.è
è:ⁿ	è.è.∼
èè	è.è
èèⁿ	è.è.∼
èé	è.é
èéⁿ	è.é.∼
èⁿ	è.∼
é	é
é:	é.é
é:ⁿ	é.é.∼
éè	é.è
éèⁿ	é.è.∼
éé	é.é
ééⁿ	é.é.∼
éⁿ	é.∼
ê	ê
ê:	é.è
ě	ě
ě:	è.é
ě:ⁿ	è.é.∼
ěⁿ	ě.∼
e᷈	ě
e᷈:	è.è
eⁿ	e.∼
ə̀	ə̀
ə́	ə́
ễ	ê.∼
È	ɛ̀
ɛ	ɛ
ɛ̀	ɛ̀
ɛ̀ⁿ	ɛ̀.∼
ɛ́	ɛ́
ɛ́ⁿ	ɛ́.∼
ɛ̂	ɛ̂
ɛ̂ⁿ	ɛ̂.∼
ɛ̃	ɛ.∼
ɛ̃̀	ɛ.∼
ɛ̃́	ɛ.∼
ɛ̄	ɛ
ɛ̌	ɛ̌
ɛ̌ⁿ	ɛ̌.∼
ɛ᷈	ɛ̌
ɛⁿ	ɛ.∼
ɞ́	β
ɛ:	ɛ.ɛ
ɛ́:	ɛ́.ɛ́
ɛ́ɛ́	ɛ́.ɛ́
ɛ:́	ɛ́.ɛ́
ɛ̊:	ɛ.ɛ
ɛ̀:	ɛ̀.ɛ̀
ɛ̀ɛ̀	ɛ̀.ɛ̀
ɛ̂:	ɛ́.ɛ̀
ɛ́ɛ̀	ɛ́.ɛ̀
ɛ̌:	ɛ̀.ɛ́
ɛ̀ɛ́	ɛ̀.ɛ́
ɛ́:ⁿ	ɛ́.ɛ́.∼
ɛ́ɛ́ⁿ	ɛ́.ɛ́.∼
ɛ̀:ⁿ	ɛ̀.ɛ̀.∼
ɛ̀ɛ̀ⁿ	ɛ̀.ɛ̀.∼
ɛ᷈:	ɛ̀.ɛ̀
ɛ̂:ⁿ	ɛ́.ɛ̀.∼
ɛ́ɛ̀ⁿ	ɛ́.ɛ̀.∼
ɛ̌:ⁿ	ɛ̀.ɛ́.∼
ɛ̀ɛ́ⁿ	ɛ̀.ɛ́.∼
ɛ᷈:ⁿ	ɛ̀.ɛ̀.∼
f	f
ɣ	ɣ
g	ɡ
ǵ	ɡ
ɡ	ɡ
ɡʷ	ɡʷ
h	h
ɥ	ɥ
hʷ	hʷ
i	i
í	í
í̀	î
ì́	ǐ
ɪ́	í
ì	ì
ɪ̀	ɪ̀
î	î
î"	î
ǐ	ǐ
iⁿ	i.∼
íⁿ	í.∼
íⁿ̀	í.∼
iⁿ̀	ì.∼
ìⁿ	ì.∼
i᷈:	ǐ.ì
îⁿ	î.∼
ǐⁿ	ǐ.∼
i:	i.i
ì::	ì.ì.ì
i:́	í.í
í:	í.í
íí	í.í
ɪ́ɪ́	ɪ́.ɪ́
i:̀	ì.ì
ì:	ì.ì
ìì	ì.ì
ɪ̀ɪ̀	ɪ̀.ɪ̀
î:	í.ì
íì	í.ì
ɪ́ɪ̀	ɪ́.ɪ̀
ǐ:	ɪ̀.í
ìí	ì.í
ɪ̀ɪ́	ɪ̀.ɪ́
í:ⁿ	í.í.∼
í̀:ⁿ	í.ì.∼
ĩ́ĩ́	í.í.∼
ííⁿ	í.í.∼
ɪ́ɪ́ⁿ	ɪ́.ɪ́.∼
ì:ⁿ	ì.ì.∼
ììⁿ	ì.ì.~
ɪ̀ɪ̀ⁿ	ɪ̀.ɪ̀.∼
î:ⁿ	í.ì.∼
ĩ́ĩ̀	í.ì.∼
íìⁿ	í.ì.∼
ɪ́ɪ̀ⁿ	ɪ́.ɪ̀.∼
ǐ:ⁿ	ɪ̀.ɪ́.∼
ĩ̀ĩ́	ì.í.~
ìíⁿ	ì.í.∼
ɪ̀ɪ́ⁿ	ɪ̀.ɪ́.∼
i᷈:ⁿ	ì.ì.∼
y	y
yᵇ	yᵇ
ý	y
ỳ	y
yⁿ	j.∼
yⁿ̀	j.∼
ýⁿ	j.∼
^:r	r
áà:y	á.à j
àà:	à.à
àá:	à.á
ɛ́ɛ̀:	ɛ́.ɛ̀
Ǹ	n
èé:	è.é
ìí:	ì.í
ỳⁿ	j̀.∼
ɔ̌:́	ɔ̀.ɔ́
ŷⁿ	ĵ.∼
ʄ	ʄ
y:	j.j
k	k
ḱ	k
ɛ̀ɛ́:ⁿ	ɛ̀.ɛ́.∼
kʷ	k.w
l	l
-_	
ĺ	l
_-	-
_-$	NULL
-_$	NULL
_X-	-
l̀	l
l:	l.l
:m	m
m	m
ḿ	m
m̀	m
m̀ᵇ	m̀ᵇ
m̀:	m
àwⁿ	àu̯.∼
m:	m.m
_...-	-
n	n
a᷄:	a.á
ɛⁿ́	ɛ́.∼
ɛ́́	ɛ́
N-	n
ñ	n
nⁿ	n
æ̂ⁿ	æ̂.∼
ýⁿ́	j̀.∼
^:-	NULL
^̌	NULL
-́_	-
^́	NULL
^̌_	NULL
u᷈:ⁿ	ùú.∼
-́_X=	-
_:_	NULL
_ː_	NULL
â:-ⁿ	á.à.∼
ɔ́́	ɔ́
ń	n
ǹ	n
Ǹ-	n
ǹ:	n.n
ɲ	ɲ
ɲ́	ɲ
ɲ̀	ɲ
ɳ	ɲ
2	NULL
-	-
̀	NULL
!	NULL
.	NULL
/	NULL
-:	-
;	NULL
?	NULL
?#	NULL
=	NULL
=:	NULL
>	NULL
∅	NULL
∴	NULL
≡	NULL
→	NULL
⇒	NULL
…	NULL
B	b
C	NULL
D	d
g#	NULL
H	h
L	l
l#	NULL
O	o
Ú	ú
V	v
X	x
=-ʸŋ	j.ŋ
Y	j
ꜜ	NULL
=∴	NULL
ŋ	ŋ
ŋ́	ŋ
ŋ̀	ŋ
ŋʷ	ŋ.w
o	o
o̯	o
ó	ó
ò	ò
ò̀	ò
ô	ô
ǒ	ǒ
ṍ	ó.∼
óⁿ	ó.∼
õ̀	ò.∼
òⁿ	ò.∼
o᷈	ò.ò
ôⁿ	ô.∼
o:	o.o
ó:	ó.ó
óó	ó.ó
ò:	ò.ò
òò	ò.ò
ô:	ó.ò
óò	ó.ò
ǒ:	ò.ó
òó	ò.ó
ó:ⁿ	ó.ó.∼
óóⁿ	ó.ó.∼
ò:ⁿ	ò.ò.∼
òòⁿ	ò.ò.∼
o᷈:	ò.ò
o᷈::	ò.ò
ô:ⁿ	ó.ò.∼
óòⁿ	ó.ò.∼
ǒ:ⁿ	ò.ó.∼
òóⁿ	ò.ó.∼
p	p
pʷ	p.w
q	q
r	r
r̀	r
rᵃ	r.a
rᵘ̀	r.ù
r̃	r.∼
rⁿ	r.∼
rⁿ̀	r.∼
s	s
sⁿ	s.~
š	ʃ
ʃ	ʃ
t	t
c	tʃ
ć	tʃ
tʷ	t.w
u	u
ú	ú
ù	ù
û	û
ǔ	ǔ
ũ	u.∼
úⁿ	ú.∼
ùⁿ	ù.∼
ûⁿ	û.∼
ǔⁿ	ǔ.∼
ù:	ù.ù
ù:ⁿ	ù.ù.∼
ùù	ù.ù.∼
ùùⁿ	ù.ù.∼
ùú	ù.ú.∼
ùúⁿ	ù.ú.∼
ú:	ú.ú
ú:ⁿ	ú.ú.∼
úù	ú.ù
úùⁿ	ú.ù.∼
úú	ú.ú
úúⁿ	ú.ú.∼
û:	ú.ù
û:ⁿ	ú.ù.∼
ǔ:	ù.ú
ǔ:ⁿ	ù.ú.∼
u᷈:	ù.ù.∼
uⁿ	u.∼
v	v
v́	v
v̀	v
ʋ	β
w	w
wᵃ	w
ẃ	w
ẁ	w
w̃	w.∼
wⁿ	w.∼
wⁿ́	w.∼
ẃⁿ	w.∼
ẁⁿ	w.∼
x	x
z	z
ž	ʒ
ʒ	ʒ
ʔ	ʔ
ʔⁿ	ʔ.~
_	-
{	NULL
'	NULL
}	NULL
`	NULL
1	NULL
3	NULL
21	NULL
752	NULL
764	NULL
3247	NULL
4378	NULL
4496	NULL
4511	NULL
˧	NULL
A	a
+	NULL
E	e
R	r
P	p
N	n
ň	n
å	a
U	u
ɖ	ɗ
ɪ	ɪ
ᵘ	u
Â	â
J	dʒ
ø	NULL
ő	o
@	NULL
̐	NULL
᷄	NULL
<	NULL
̪	NULL
4	NULL
7	NULL
9	NULL
0	NULL
I	i
_X_$	NULL
_X$	NULL
_$	NULL
__$	NULL
_...$	NULL
-̀$	NULL
^_	NULL
^__	NULL
^_...	NULL
^..._	NULL
^-_	NULL
^ḿ:	m.m
__	-
_..._	-
...	NULL
_X_	-
j́	dʒ
nj́	nj́
nj	nj
^nj	nj
_=_	-
^X__	NULL
^X_	NULL
^X-	NULL
^-	NULL
-ⁿ_	-
-ⁿ$	NULL
-ⁿ	~
-_$	NULL
ɪ̌	ɪ̌
^ň:	n.n
^_k	k
-_xxx$	NULL
àⁿ	à.∼
p̌y$	p j
á́	á
ý:	j.j
_$	NULL
-$	NULL
-́_$	NULL
]	NULL
-$	NULL
nd	nd
^nd	nd
mb	mb
^mb	mb
ng	nɡ
ŋg	ŋɡ
^ŋg	nɡ
^ng	nɡ
ɔ́́_	ɔ́ -
ɔ̊	ɔ
a`:	à.à
^́_k	k
^̌t	t
ê:ⁿ	é.è.∼
 ̀_	NULL
_:$	NULL
g-́_	ɡ
ɔ̌:-́	ɔ̀.ɔ́
^:_	NULL
á́́́	á
PRON	NULL
̌_#_	-
^nɔ̌:	n ɔ̀.ɔ́
)	NULL
