Grapheme	IPA	FREQUENCY	CODEPOINTS
kw	kw	9	U+006b U+0077
jj	jj	9	U+006a U+006a
ɔ᷈:	ɔ᷈:	8	U+0254 U+1dc8 U+003a
ùù	ùù	8	U+00f9 U+00f9
à:s	à:s	8	U+00e0 U+003a U+0073
dw	dw	8	U+0064 U+0077
a	a	8	U+0061
ýⁿ	ýⁿ	8	U+00fd U+207f
a᷈:	a᷈:	8	U+0061 U+1dc8 U+003a
gg	gg	8	U+0067 U+0067
è:s	è:s	8	U+00e8 U+003a U+0073
ḿ	m	8	U+1e3f
ỳ	ỳ	8	U+1ef3
èè	èè	7	U+00e8 U+00e8
èw	èw	7	U+00e8 U+0077
ǎ:ⁿ	ǎ:ⁿ	7	U+01ce U+003a U+207f
âw	âw	7	U+00e2 U+0077
àⁿ	àⁿ	7	U+00e0 U+207f
ŋŋ	ŋŋ	7	U+014b U+014b
ns	ns	6	U+006e U+0073
ɛ᷈:	ɛ᷈:	6	U+025b U+1dc8 U+003a
ə́	ə́	6	U+0259 U+0301
ó:s	ó:s	6	U+00f3 U+003a U+0073
ɛ̀ɛ̀	ɛ̀ɛ̀	6	U+025b U+0300 U+025b U+0300
òw	òw	6	U+00f2 U+0077
e	e	6	U+0065
ówⁿ	ówⁿ	6	U+00f3 U+0077 U+207f
a᷈	a᷈	6	U+0061 U+1dc8
ó:ⁿ	ó:ⁿ	6	U+00f3 U+003a U+207f
ɛ̀:ⁿ	ɛ̀:ⁿ	5	U+025b U+0300 U+003a U+207f
š	š	5	U+0161
ɛ᷈	ɛ᷈	5	U+025b U+1dc8
â:ⁿ	â:ⁿ	5	U+00e2 U+003a U+207f
èⁿ	èⁿ	5	U+00e8 U+207f
ǎⁿ	ǎⁿ	5	U+01ce U+207f
ô:ⁿ	ô:ⁿ	5	U+00f4 U+003a U+207f
ěw	ěw	5	U+011b U+0077
à:w	à:w	5	U+00e0 U+003a U+0077
tt	tt	5	U+0074 U+0074
rr	rr	5	U+0072 U+0072
â:w	â:w	5	U+00e2 U+003a U+0077
?	NULL	4	U+003f
û:ⁿ	û:ⁿ	4	U+00fb U+003a U+207f
ôw	ôw	4	U+00f4 U+0077
ó:w	ó:w	4	U+00f3 U+003a U+0077
cc	cc	4	U+0063 U+0063
ɔ̀ɔ̀	ɔ̀ɔ̀	4	U+0254 U+0300 U+0254 U+0300
úⁿ	úⁿ	4	U+00fa U+207f
o	o	4	U+006f
ɛ́:ⁿ	ɛ́:ⁿ	4	U+025b U+0301 U+003a U+207f
ɔ̌:ⁿ	ɔ̌:ⁿ	4	U+0254 U+030c U+003a U+207f
à:ⁿs	à:ⁿs	4	U+00e0 U+003a U+207f U+0073
ǔⁿ	ǔⁿ	4	U+01d4 U+207f
o᷈:	o᷈:	4	U+006f U+1dc8 U+003a
òwⁿ	òwⁿ	4	U+00f2 U+0077 U+207f
ỳⁿ	ỳⁿ	4	U+1ef3 U+207f
àh	àh	4	U+00e0 U+0068
éwⁿ	éwⁿ	4	U+00e9 U+0077 U+207f
jw	jw	4	U+006a U+0077
âwⁿ	âwⁿ	3	U+00e2 U+0077 U+207f
ò:ⁿ	ò:ⁿ	3	U+00f2 U+003a U+207f
ɛ̂:ⁿ	ɛ̂:ⁿ	3	U+025b U+0302 U+003a U+207f
é:ⁿ	é:ⁿ	3	U+00e9 U+003a U+207f
ɗ	ɗ	3	U+0257
ww	ww	3	U+0077 U+0077
v	v	3	U+0076
