ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	ALIGNMENT
9498	JamsayDouentza	(Muslim) pray, say or perform one's prayer	sal+sal+a	s a l + s a l + a	27	s a l + - - s a l + a
9499	Mombo	(Muslim) pray, say or perform one's prayer	sand+is+and+e	s a n d + i s + a n d + e	35	s a n d + i s + a n d + e
9500	BonduSoNajamba	(Muslim) pray, say or perform one's prayer	san+san	s a n + s a n	27	s a n + - - s a n - -
9501	Nanga	(Muslim) pray, say or perform one's prayer	sand+is+and+i	s a n d + i s + a n d + i	35	s a n d + i s + a n d + i
9502	Penange	(Muslim) pray, say or perform one's prayer	sɛnd+ik+an	s ɛ n d + i k + a n	35	s ɛ n d + i k + a n - - -
9503	PergeTegu	(Muslim) pray, say or perform one's prayer	sal+sal+a	s a l + s a l + a	27	s a l + - - s a l + a
9504	TebulUre	(Muslim) pray, say or perform one's prayer	san+sarⁿ+a	s a n + s a rⁿ + a	27	s a n + - - s a rⁿ + a
9505	Tiranige	(Muslim) pray, say or perform one's prayer	saan+i+kan+u	s aa n + i + k a n + u	29	s aa n + i + k a n + u
9506	TogoKan	(Muslim) pray, say or perform one's prayer	saⁿsarⁿ+a	s aⁿ s a rⁿ + a	41	s aⁿ s a rⁿ + a
9507	TommoSoTongoTongo	(Muslim) pray, say or perform one's prayer	sɛn+u+sɛn+ɛ	s ɛ n + u + s ɛ n + ɛ	30	s ɛ n + u + s ɛ n + ɛ
9508	ToroTegu	(Muslim) pray, say or perform one's prayer	karⁿ+a	k a rⁿ + a	43	k a rⁿ + a
9509	YandaDom	(Muslim) pray, say or perform one's prayer	san+san	s a n + s a n	27	s a n + - - s a n - -
9510	YornoSo	(Muslim) pray, say or perform one's prayer	sɛn+sɛrⁿ+ɛ	s ɛ n + s ɛ rⁿ + ɛ	30	s ɛ n + - - s ɛ rⁿ + ɛ
10537	BankanTey	(a) bruise (from a blow)	pu+ŋka	p u + ŋ k a	44	p u + ŋ k a - -
10538	BenTey	(a) bruise (from a blow)	pu+ŋgu+yii	p u + ŋ g u + yii	44	p u + ŋ g u + yii
10539	BenTey	(a) bruise (from a blow)	go+ŋgo+ro+gu+nu+m	g o + ŋ g o + r o + g u + n u + m	57	g o + ŋ g o + r o + g u + n u + m
