# Wordlist

# DATA
ID	DOCULECT	CONCEPT	IPA
10555	ToroTegu	(a) bruise (from a blow)	kú+ŋkà
10556	YandaDom	(a) bruise (from a blow)	sìn+zùpɔ́+jú
10557	YornoSo	(a) bruise (from a blow)	jàrⁿìý+ⁿ
#
13091	BenTey	(a) guard, watchman	ɔ̀rⁿɔ̀gɔ̀+yⁿú+m
13092	DonnoSo	(a) guard, watchman	yàlù+kádù+bìnɛ̀
13093	JamsayDouentza	(a) guard, watchman	dììⁿtí+gén
13094	Mombo	(a) guard, watchman	nɔ̀d+yànɔ́+dí
13095	Nanga	(a) guard, watchman	gɔ̀yⁿ+gɔ̌y+ⁿ
13096	Tiranige	(a) guard, watchman	dóó+ŋgé
13097	TogoKan	(a) guard, watchman	ɲàká+júwá
13098	TommoSoTongoTongo	(a) guard, watchman	ndɛ̀dò+mmù+dɔ́m+mínɛ́
13099	ToroTegu	(a) guard, watchman	mètù+métú+nú
13100	YandaDom	(a) guard, watchman	dɔ̀+mú
#
9780	BenTey	(a) sacrifice (e.g. a slaughtered animal)	sádí+gà
9781	DogulDomBendiely	(a) sacrifice (e.g. a slaughtered animal)	sàrá+gá
9782	DogulDomKundialang	(a) sacrifice (e.g. a slaughtered animal)	sàlà+mbɔ́
9783	DogulDomKundialang	(a) sacrifice (e.g. a slaughtered animal)	sár+gà
9784	JamsayDouentza	(a) sacrifice (e.g. a slaughtered animal)	sádá+kà
9785	Mombo	(a) sacrifice (e.g. a slaughtered animal)	sárá+gà
9786	Nanga	(a) sacrifice (e.g. a slaughtered animal)	sárí+gà
9787	Tiranige	(a) sacrifice (e.g. a slaughtered animal)	sálá+mpɔ́
9788	TogoKan	(a) sacrifice (e.g. a slaughtered animal)	sàrú+gá
9789	TommoSoTongoTongo	(a) sacrifice (e.g. a slaughtered animal)	sàlà+mbɔ́
9790	ToroTegu	(a) sacrifice (e.g. a slaughtered animal)	sádá+kà
9791	YandaDom	(a) sacrifice (e.g. a slaughtered animal)	sàlà+mbɔ́
#
12233	BenTey	(a) shop, store	bìdí+gì
12234	Bunoge	(a) shop, store	bítí+gì
12235	DonnoSo	(a) shop, store	bùdí+gù
12236	JamsayDouentza	(a) shop, store	bìdí+gù
12237	Mombo	(a) shop, store	bírí+gì
12238	Nanga	(a) shop, store	bìtí+kî
12239	Penange	(a) shop, store	bìr+gì
12240	Tiranige	(a) shop, store	bídí+gí
12241	TogoKan	(a) shop, store	bìtí+gí
12242	TommoSoTongoTongo	(a) shop, store	bídí+k
12243	ToroTegu	(a) shop, store	bìtí+kì
12244	ToroTegu	(a) shop, store	dɔ̀rù+dɔ̀rúì+lò
12245	YandaDom	(a) shop, store	bìdí+gù
#
7768	BonduSoNajamba	(a) swelling (of a wound)	àmìyɛ́+ŋgò
7769	TogoKan	(a) swelling (of a wound)	pìdé
7770	TommoSoTongoTongo	(a) swelling (of a wound)	pììrí+yé
7771	YornoSo	(a) swelling (of a wound)	pììrèé
#
4327	BankanTey	(act of) fasting	m̀b+ù+bùp+ǎỳ
4328	BankanTey	(act of) fasting	kɔ́r+kà
4329	BenTey	(act of) fasting	mòòp+à+gí+ì
4330	DogulDomKundialang	(act of) fasting	kór+kà
4331	DonnoSo	(act of) fasting	kɔ́r+gɔ̀
4332	JamsayDouentza	(act of) fasting	kàà�p+à+gú�
4333	Mombo	(act of) fasting	kɔ́r+kà
4334	BonduSoNajamba	(act of) fasting	ìbìp+á+gíl+é
4335	Nanga	(act of) fasting	nɔ̀ɔ̀p+à+gí
4336	Penange	(act of) fasting	sús+úⁿtúl+é
4337	Penange	(act of) fasting	sús+úⁿnìb+ò
4338	PergeTegu	(act of) fasting	kààp+à+gú
4339	TebulUre	(act of) fasting	m̀b+ù+pàg+ú
4340	Tiranige	(act of) fasting	ɔ̀mɔ̀p+á+gá
4341	TogoKan	(act of) fasting	kàⁿpàg+ú
4342	TommoSoTongoTongo	(act of) fasting	àŋàp+à+gú
4343	TommoSoTongoTongo	(act of) fasting	kɔ́r+kà
4344	TomoKanSegue	(act of) fasting	sús+úⁿ
4345	ToroTegu	(act of) fasting	kàp+á+gú
4346	YandaDom	(act of) fasting	m̀b+ò+pàg+ù
4347	YornoSo	(act of) fasting	àŋàp+à+gú
#
4057	BankanTey	(any) alcoholic beverage	kɔ̀zɔ́
4058	BenTey	(any) alcoholic beverage	kɔ̀n+jɔ́
4059	DogulDomBendiely	(any) alcoholic beverage	kɔ́+ɲjɔ́
4060	JamsayDouentza	(any) alcoholic beverage	kɔ̀ɲɔ́
4061	Mombo	(any) alcoholic beverage	kɔ́+nd+yɔ̀
4062	BonduSoNajamba	(any) alcoholic beverage	kɔ̀n+jɛ́+ŋgé
4063	Nanga	(any) alcoholic beverage	kɔ̀n+jɔ́
4064	PergeTegu	(any) alcoholic beverage	kɔ̀n+jɔ́
4065	TogoKan	(any) alcoholic beverage	kɛ̀ɲɛ́
4066	TommoSoTongoTongo	(any) alcoholic beverage	kɔ̀n+jɔ́
4067	ToroTegu	(any) alcoholic beverage	kɔ̀ⁿsɔ́
4068	YandaDom	(any) alcoholic beverage	kɔ̀n+zɔ̀
4069	YornoSo	(any) alcoholic beverage	kɔ̀ɲɔ́
#
4610	Nanga	(any) fish trap	ìsìyɔ́+gî
4611	TommoSoTongoTongo	(any) fish trap	jɔ́ɔ́+ⁿ
4612	ToroTegu	(any) fish trap	sàrⁿá
#
6324	DogulDomBendiely	(any) men's palaver shed	páy+wéyó+gó
6325	DogulDomKundialang	(any) men's palaver shed	ánùwè+jà+ŋgà
6326	Mombo	(any) men's palaver shed	jàwⁿà+bây+ⁿ
6327	Nanga	(any) men's palaver shed	àrⁿàɔ̂ɔ̂
6328	Tiranige	(any) men's palaver shed	yàŋà
6329	TommoSoTongoTongo	(any) men's palaver shed	ànàm+dó+m
6330	TommoSoTongoTongo	(any) men's palaver shed	ànàm+já+ŋgá
6331	YornoSo	(any) men's palaver shed	tògù+náá
#
10388	BankanTey	(blood from a serious wound) flow, gush out, pour out	yɔ̀w+ɔ́
10389	BenTey	(blood from a serious wound) flow, gush out, pour out	tóót+í
10390	JamsayDouentza	(blood from a serious wound) flow, gush out, pour out	yùw+ɔ́
10391	Mombo	(blood from a serious wound) flow, gush out, pour out	gwé+é
10392	BonduSoNajamba	(blood from a serious wound) flow, gush out, pour out	síy+ɛ́
10393	Nanga	(blood from a serious wound) flow, gush out, pour out	tíy+ɛ́
10394	TommoSoTongoTongo	(blood from a serious wound) flow, gush out, pour out	gò+ó
10395	ToroTegu	(blood from a serious wound) flow, gush out, pour out	zɔ̌+ɔ̌
10396	YornoSo	(blood from a serious wound) flow, gush out, pour out	tógɛ́+ɛ́
#
874	DogulDomKundialang	(child) be born	nàl+yé
875	BonduSoNajamba	(child) be born	nàl+í+yɛ́
876	TommoSoTongoTongo	(child) be born	nàl+í+yɛ́
877	YornoSo	(child) be born	nàrⁿɛ́+ɛ́
#
9950	BankanTey	(colonial) army	lár+mɛ̀
9951	BenTey	(colonial) army	sèdàà+sú
9952	DogulDomBendiely	(colonial) army	sóràà+s
9953	JamsayDouentza	(colonial) army	lár+mɛ́
9954	Mombo	(colonial) army	ár+méè
9955	PergeTegu	(colonial) army	sódáá+sù
9956	TogoKan	(colonial) army	sɔ́dáá+jú
9957	TommoSoTongoTongo	(colonial) army	ànsáá+rákɔ̀+mbɔ̀à+nà+m
9958	ToroTegu	(colonial) army	sárú+rúsù
9959	YornoSo	(colonial) army	lár+mè
#
13432	BankanTey	(dog) howl, bay (verb only)	lòòr+ó
13433	Mombo	(dog) howl, bay (verb only)	kɔ́m+ɛ́
